Issue,Study
Defunding the police,Study 2
Denying service on the basis of religious beliefs,Study 2
Dual citizenship status for immigrants,Study 2
Electoral college should be replaced with popular vote,Study 2
Allowing Congress to audit Federal Reserve,Study 2
Electoral fraud is an issue,Study 2
Employer-covered birth control,Study 2
Extend sick/maternal leave,Study 2
Fast-tracking COVID-19 vaccine,Study 2
Feds should prioritize jobs/wages over inflation,Study 2
Free speech on campus is being limited/infringed upon,Study 2
Allowing convicted criminals to run for office,Study 2
Funding for national health,Study 2
Gov't surveillance of private citizens,Study 2
Government funding for mental health research/treatment,Study 2
Government handling of COVID,Study 2
Government is wasteful and inefficient,Study 2
Government spending on public transportation,Study 2
Women serving in military combat,Study 2
Higher tax rate for corporations,Study 2
Hydraulic fracking for oil and gas resources,Study 2
In-state tuition for illegal immigrants,Study 2
Increasing sales tax to reduce property tax,Study 2
Legal citizenship for children of illegal immigrants (DACA),Study 2
Legal status for illegal working immigrants,Study 2
Less stringent welfare eligibility requirements,Study 2
Mandatory military service,Study 2
Military force without congressional approval,Study 2
Muslim surveillance,Study 2
Net neutrality,Study 2
News media has a positive effect on country,Study 2
Animal testing,Study 2
Planned Parenthood funding,Study 2
Privatization of prisons,Study 2
Raise Social Security retirement age,Study 2
Reciting prayer in school,Study 2
Requiring vaccinations for preventable diseases,Study 2
Separation of church & state,Study 2
Social media has an influence on politics,Study 2
Spending on infrastructure,Study 2
Spending on military/defense,Study 2
Stay-at-home order,Study 2
Tax breaks to corporations for remaining domestic,Study 2
Trans-Pacific Partnership,Study 2
Transgender athletes allowed to compete,Study 2
Trigger warnings or safe spaces,Study 2
Banning non-biodegradable plastics,Study 2
U.S. participation in NAFTA,Study 2
U.S. stands above other countries in the world,Study 2
U.S. withdrawal from Paris Climate Agreement,Study 2
Universal preschool through government funding,Study 2
Use of nuclear energy,Study 2
Wealth tax,Study 2
